,open,high,low,close,volume,pre_close,p_change,date,date_week,key,atr21,atr14
2017-07-27,346.0,347.5,326.29,334.46,8302405,343.85,-2.7310000000000003,20170727,3,133,14.28608042873148,13.89771128250288
2017-07-28,336.89,339.6,332.51,335.07,4880414,334.46,0.182,20170728,4,134,14.018254243633448,13.556683110113124
2017-07-31,335.5,341.49,321.04,323.47,8535136,335.07,-3.4619999999999997,20170731,0,135,14.602959775865294,14.47579203200998
2017-08-01,323.0,324.45,316.13,319.57,8303102,323.47,-1.206,20170801,1,136,14.997237001280096,15.071019762896785
2017-08-02,319.0,319.22,311.41,315.96,119040,319.57,-1.13,20170802,2,137,14.730214937677168,14.66955046011248
2017-08-03,345.33,350.0,343.15,347.09,13535033,315.96,9.853,20170803,3,138,16.157470642365848,16.77094373692748
2017-08-04,347.0,357.27,343.3,356.91,9268909,347.09,2.8289999999999997,20170804,4,139,18.44406788651233,20.042817911854776
2017-08-07,357.35,359.48,352.75,355.17,6324480,356.91,-0.488,20170807,0,140,17.893697276440236,19.022442188512546
2017-08-08,357.53,368.58,357.4,365.22,7449837,355.17,2.83,20170808,1,141,17.327905865232626,18.04211656191073
2017-08-09,361.0,370.0,358.95,363.53,6892096,365.22,-0.46299999999999997,20170809,2,142,17.100823240302105,17.613834353100582
2017-08-10,361.6,366.65,354.66,355.4,7092858,363.53,-2.2359999999999998,20170810,3,143,16.63620243692346,16.863989771844466
2017-08-11,356.97,361.26,353.62,357.87,4365783,355.4,0.695,20170811,4,144,16.02472887936314,15.936791134695468
2017-08-14,364.63,367.66,362.6,363.8,4519186,357.87,1.6569999999999998,20170814,0,145,15.682480489672415,15.44655231632225
2017-08-15,365.2,365.49,359.37,362.33,3085088,363.8,-0.40399999999999997,20170815,1,146,14.949527114836352,14.403012006715844
2017-08-16,363.0,366.5,362.52,362.91,3413773,362.33,0.16,20170816,2,147,13.95229663122819,13.013277071605934
2017-08-17,361.21,363.3,351.59,351.92,5027660,362.91,-3.028,20170817,3,148,13.748451344325991,12.839506795296328
2017-08-18,352.91,354.0,345.8,347.46,5408183,351.92,-1.2670000000000001,20170818,4,149,14.054046865565333,13.408905889527999
2017-08-21,345.82,345.82,331.85,337.86,6495424,347.46,-2.763,20170821,0,150,14.600952003306686,14.297051771290828
2017-08-22,341.13,342.24,337.37,341.35,4321966,337.86,1.033,20170822,1,151,14.190865248049812,13.736111534918074
2017-08-23,338.99,353.49,338.3,352.77,4954504,341.35,3.346,20170823,2,152,14.321695740806721,13.988629997007255
2017-08-24,352.52,356.66,349.74,352.93,4584687,352.77,0.045,20170824,3,153,14.411541620485206,14.164812664120275
